n,m,ptype,best_distance,nsolutions
4,100,cw,279,2
4,100,cw,289,3
4,100,cw,264,2
4,100,cw,272,3
4,100,cw,278,3
4,100,cw,279,2
4,100,cw,284,3
4,100,cw,287,1
4,100,cw,281,2
4,100,cw,269,1
4,100,cw,284,2
4,100,cw,286,3
4,100,cw,271,1
4,100,cw,282,2
4,100,cw,283,1
4,100,cw,287,1
4,100,cw,272,1
4,100,cw,279,2
4,100,cw,283,1
4,100,cw,278,2
4,100,cw,282,2
4,100,cw,285,1
4,100,cw,288,2
4,100,cw,277,2
4,100,cw,275,2
4,100,cw,267,2
4,100,cw,265,3
4,100,cw,290,3
4,100,cw,286,1
4,100,cw,271,2
4,100,cw,280,2
4,100,cw,281,1
4,100,cw,282,1
4,100,cw,289,1
4,100,cw,260,2
4,100,cw,286,2
4,100,cw,276,2
4,100,cw,290,1
4,100,cw,276,1
4,100,cw,280,2
4,100,cw,289,2
4,100,cw,271,2
4,100,cw,271,2
4,100,cw,279,2
4,100,cw,284,1
4,100,cw,287,2
4,100,cw,288,1
4,100,cw,289,1
4,100,cw,290,1
4,100,cw,272,1
