n,m,ptype,best_distance,nsolutions
5,10,cw,32,1
5,10,cw,36,1
5,10,cw,43,6
5,10,cw,35,2
5,10,cw,33,2
5,10,cw,35,2
5,10,cw,36,1
5,10,cw,37,3
5,10,cw,34,2
5,10,cw,39,4
5,10,cw,33,3
5,10,cw,40,5
5,10,cw,40,2
5,10,cw,36,2
5,10,cw,39,4
5,10,cw,35,1
5,10,cw,39,2
5,10,cw,37,2
5,10,cw,40,6
5,10,cw,35,2
5,10,cw,41,1
5,10,cw,38,6
5,10,cw,27,2
5,10,cw,38,2
5,10,cw,37,5
5,10,cw,37,4
5,10,cw,41,3
5,10,cw,33,1
5,10,cw,38,1
5,10,cw,36,3
5,10,cw,29,3
5,10,cw,30,3
5,10,cw,34,3
5,10,cw,40,12
5,10,cw,33,2
5,10,cw,34,2
5,10,cw,39,2
5,10,cw,35,3
5,10,cw,39,2
5,10,cw,40,8
5,10,cw,38,3
5,10,cw,34,1
5,10,cw,40,6
5,10,cw,41,8
5,10,cw,34,1
5,10,cw,39,4
5,10,cw,41,6
5,10,cw,38,6
5,10,cw,35,2
5,10,cw,30,2
