n,m,ptype,best_distance,nsolutions
5,99,nc,454,2
5,99,nc,470,1
5,99,nc,456,1
5,99,nc,451,1
5,99,nc,462,1
5,99,nc,476,1
5,99,nc,450,2
5,99,nc,461,1
5,99,nc,482,1
5,99,nc,457,2
5,99,nc,448,1
5,99,nc,463,1
5,99,nc,457,1
5,99,nc,452,1
5,99,nc,473,1
5,99,nc,460,1
5,99,nc,474,1
5,99,nc,465,1
5,99,nc,476,1
5,99,nc,461,1
5,99,nc,457,2
5,99,nc,469,2
5,99,nc,465,2
5,99,nc,473,2
5,99,nc,455,1
5,99,nc,475,1
5,99,nc,473,2
5,99,nc,461,2
5,99,nc,471,1
5,99,nc,475,1
5,99,nc,452,1
5,99,nc,466,1
5,99,nc,469,1
5,99,nc,454,1
5,99,nc,453,1
5,99,nc,469,1
5,99,nc,467,1
5,99,nc,471,1
5,99,nc,471,2
5,99,nc,473,1
5,99,nc,447,1
5,99,nc,453,2
5,99,nc,463,1
5,99,nc,453,3
5,99,nc,428,1
5,99,nc,464,1
5,99,nc,476,1
5,99,nc,478,1
5,99,nc,443,1
5,99,nc,467,1
