n,m,ptype,best_distance,nsolutions
4,49,cr,124,1
4,49,cr,136,1
4,49,cr,132,1
4,49,cr,123,1
4,49,cr,135,1
4,49,cr,133,1
4,49,cr,131,1
4,49,cr,128,1
4,49,cr,136,1
4,49,cr,123,1
4,49,cr,132,1
4,49,cr,130,1
4,49,cr,131,1
4,49,cr,126,1
4,49,cr,108,1
4,49,cr,115,1
4,49,cr,133,1
4,49,cr,124,1
4,49,cr,134,1
4,49,cr,128,1
4,49,cr,123,1
4,49,cr,134,1
4,49,cr,131,1
4,49,cr,133,1
4,49,cr,134,1
4,49,cr,135,1
4,49,cr,131,1
4,49,cr,139,1
4,49,cr,132,1
4,49,cr,139,1
4,49,cr,123,1
4,49,cr,136,1
4,49,cr,124,1
4,49,cr,129,1
4,49,cr,125,1
4,49,cr,131,1
4,49,cr,137,1
4,49,cr,130,1
4,49,cr,126,1
4,49,cr,123,1
4,49,cr,126,1
4,49,cr,139,1
4,49,cr,131,1
4,49,cr,127,1
4,49,cr,122,1
4,49,cr,136,1
4,49,cr,122,1
4,49,cr,126,1
4,49,cr,129,1
4,49,cr,127,1
