n,m,ptype,best_distance,nsolutions
4,10,cw,22,3
4,10,cw,25,3
4,10,cw,19,2
4,10,cw,22,3
4,10,cw,23,1
4,10,cw,21,2
4,10,cw,24,2
4,10,cw,22,3
4,10,cw,20,3
4,10,cw,23,2
4,10,cw,22,2
4,10,cw,25,3
4,10,cw,24,3
4,10,cw,21,3
4,10,cw,22,3
4,10,cw,24,2
4,10,cw,23,2
4,10,cw,24,2
4,10,cw,21,3
4,10,cw,23,3
4,10,cw,18,2
4,10,cw,21,2
4,10,cw,22,2
4,10,cw,19,2
4,10,cw,22,2
4,10,cw,24,2
4,10,cw,26,3
4,10,cw,18,2
4,10,cw,23,3
4,10,cw,25,3
4,10,cw,19,1
4,10,cw,24,2
4,10,cw,22,1
4,10,cw,25,1
4,10,cw,21,2
4,10,cw,24,2
4,10,cw,24,2
4,10,cw,23,2
4,10,cw,27,6
4,10,cw,25,3
4,10,cw,20,2
4,10,cw,21,2
4,10,cw,26,3
4,10,cw,21,2
4,10,cw,24,2
4,10,cw,22,2
4,10,cw,21,3
4,10,cw,23,3
4,10,cw,25,3
4,10,cw,19,2
