n,m,ptype,best_distance,nsolutions
5,50,cw,210,1
5,50,cw,219,1
5,50,cw,221,1
5,50,cw,229,2
5,50,cw,223,1
5,50,cw,232,1
5,50,cw,227,1
5,50,cw,228,3
5,50,cw,229,1
5,50,cw,225,2
5,50,cw,227,6
5,50,cw,231,1
5,50,cw,231,1
5,50,cw,232,2
5,50,cw,219,2
5,50,cw,218,2
5,50,cw,224,1
5,50,cw,214,2
5,50,cw,237,1
5,50,cw,224,2
5,50,cw,214,2
5,50,cw,223,2
5,50,cw,231,3
5,50,cw,232,2
5,50,cw,231,2
5,50,cw,225,2
5,50,cw,228,1
5,50,cw,226,3
5,50,cw,209,2
5,50,cw,230,3
5,50,cw,230,1
5,50,cw,212,2
5,50,cw,223,1
5,50,cw,220,2
5,50,cw,219,2
5,50,cw,212,3
5,50,cw,217,3
5,50,cw,213,2
5,50,cw,223,2
5,50,cw,228,3
5,50,cw,218,1
5,50,cw,225,1
5,50,cw,214,2
5,50,cw,235,1
5,50,cw,220,1
5,50,cw,227,1
5,50,cw,215,4
5,50,cw,220,1
5,50,cw,222,2
5,50,cw,219,1
