n,m,ptype,best_distance,nsolutions
4,99,cr,274,1
4,99,cr,277,1
4,99,cr,284,1
4,99,cr,265,1
4,99,cr,286,1
4,99,cr,280,1
4,99,cr,258,1
4,99,cr,277,1
4,99,cr,269,1
4,99,cr,274,1
4,99,cr,275,1
4,99,cr,276,1
4,99,cr,274,1
4,99,cr,289,1
4,99,cr,274,1
4,99,cr,278,1
4,99,cr,265,1
4,99,cr,281,1
4,99,cr,276,1
4,99,cr,242,1
4,99,cr,281,1
4,99,cr,257,1
4,99,cr,262,1
4,99,cr,272,1
4,99,cr,272,1
4,99,cr,282,1
4,99,cr,282,1
4,99,cr,274,1
4,99,cr,285,1
4,99,cr,276,1
4,99,cr,255,1
4,99,cr,270,1
4,99,cr,275,1
4,99,cr,280,1
4,99,cr,277,1
4,99,cr,266,1
4,99,cr,281,1
4,99,cr,265,1
4,99,cr,265,1
4,99,cr,274,1
4,99,cr,280,1
4,99,cr,267,1
4,99,cr,284,1
4,99,cr,264,1
4,99,cr,270,1
4,99,cr,275,1
4,99,cr,281,1
4,99,cr,276,1
4,99,cr,284,1
4,99,cr,273,1
