n,m,ptype,best_distance,nsolutions
6,49,cr,309,1
6,49,cr,291,1
6,49,cr,312,1
6,49,cr,330,1
6,49,cr,336,1
6,49,cr,321,1
6,49,cr,312,1
6,49,cr,326,1
6,49,cr,319,1
6,49,cr,331,1
6,49,cr,331,1
6,49,cr,302,1
6,49,cr,315,1
6,49,cr,317,1
6,49,cr,317,1
6,49,cr,343,1
6,49,cr,344,1
6,49,cr,318,1
6,49,cr,329,1
6,49,cr,321,1
6,49,cr,332,1
6,49,cr,315,1
6,49,cr,330,1
6,49,cr,328,1
6,49,cr,306,1
6,49,cr,325,1
6,49,cr,316,1
6,49,cr,321,1
6,49,cr,312,1
6,49,cr,313,1
6,49,cr,331,1
6,49,cr,292,1
6,49,cr,329,1
6,49,cr,314,1
6,49,cr,293,1
6,49,cr,322,1
6,49,cr,329,1
6,49,cr,315,1
6,49,cr,324,1
6,49,cr,325,1
6,49,cr,300,1
6,49,cr,331,1
6,49,cr,316,1
6,49,cr,307,1
6,49,cr,311,1
6,49,cr,316,1
6,49,cr,338,1
6,49,cr,341,1
6,49,cr,332,1
6,49,cr,329,1
