n,m,ptype,best_distance,nsolutions
4,49,cw,137,3
4,49,cw,134,1
4,49,cw,118,1
4,49,cw,138,3
4,49,cw,128,2
4,49,cw,137,2
4,49,cw,136,1
4,49,cw,133,3
4,49,cw,131,1
4,49,cw,134,2
4,49,cw,118,1
4,49,cw,134,3
4,49,cw,139,2
4,49,cw,133,1
4,49,cw,130,1
4,49,cw,137,1
4,49,cw,134,1
4,49,cw,135,2
4,49,cw,130,1
4,49,cw,130,2
4,49,cw,138,3
4,49,cw,133,1
4,49,cw,141,2
4,49,cw,126,1
4,49,cw,132,2
4,49,cw,134,2
4,49,cw,140,2
4,49,cw,135,1
4,49,cw,129,1
4,49,cw,133,1
4,49,cw,134,1
4,49,cw,139,2
4,49,cw,137,2
4,49,cw,136,2
4,49,cw,136,2
4,49,cw,139,1
4,49,cw,129,1
4,49,cw,137,1
4,49,cw,142,2
4,49,cw,127,1
4,49,cw,141,2
4,49,cw,131,1
4,49,cw,137,2
4,49,cw,130,1
4,49,cw,136,1
4,49,cw,128,1
4,49,cw,138,3
4,49,cw,136,2
4,49,cw,131,1
4,49,cw,141,1
