n,m,ptype,best_distance,nsolutions
4,100,cr,276,1
4,100,cr,267,1
4,100,cr,279,1
4,100,cr,274,1
4,100,cr,276,1
4,100,cr,279,1
4,100,cr,245,1
4,100,cr,285,1
4,100,cr,259,1
4,100,cr,266,1
4,100,cr,278,1
4,100,cr,273,1
4,100,cr,288,1
4,100,cr,285,1
4,100,cr,278,1
4,100,cr,280,1
4,100,cr,259,1
4,100,cr,274,1
4,100,cr,280,1
4,100,cr,278,1
4,100,cr,269,1
4,100,cr,285,1
4,100,cr,267,1
4,100,cr,268,1
4,100,cr,275,1
4,100,cr,271,1
4,100,cr,266,1
4,100,cr,280,1
4,100,cr,282,1
4,100,cr,285,1
4,100,cr,275,1
4,100,cr,273,1
4,100,cr,270,1
4,100,cr,265,1
4,100,cr,253,1
4,100,cr,276,1
4,100,cr,271,1
4,100,cr,266,1
4,100,cr,274,1
4,100,cr,271,1
4,100,cr,267,1
4,100,cr,285,1
4,100,cr,255,1
4,100,cr,278,1
4,100,cr,281,1
4,100,cr,276,1
4,100,cr,276,1
4,100,cr,275,1
4,100,cr,278,1
4,100,cr,286,1
