n,m,ptype,best_distance,nsolutions
6,100,nc,708,2
6,100,nc,702,4
6,100,nc,726,1
6,100,nc,673,1
6,100,nc,708,4
6,100,nc,694,1
6,100,nc,714,1
6,100,nc,703,2
6,100,nc,707,2
6,100,nc,670,1
6,100,nc,695,2
6,100,nc,676,1
6,100,nc,661,1
6,100,nc,704,1
6,100,nc,695,1
6,100,nc,703,2
6,100,nc,703,1
6,100,nc,703,1
6,100,nc,702,2
6,100,nc,726,10
6,100,nc,698,1
6,100,nc,727,5
6,100,nc,651,4
6,100,nc,707,1
6,100,nc,719,2
6,100,nc,687,2
6,100,nc,692,3
6,100,nc,690,2
6,100,nc,682,1
6,100,nc,696,1
6,100,nc,683,1
6,100,nc,714,3
6,100,nc,703,3
6,100,nc,687,3
6,100,nc,706,3
6,100,nc,712,2
6,100,nc,713,2
6,100,nc,722,3
6,100,nc,689,2
6,100,nc,706,1
6,100,nc,693,2
6,100,nc,716,1
6,100,nc,705,2
6,100,nc,717,2
6,100,nc,717,2
6,100,nc,670,1
6,100,nc,719,2
6,100,nc,691,2
6,100,nc,680,2
6,100,nc,689,1
