n,m,ptype,best_distance,nsolutions
6,50,cw,319,2
6,50,cw,337,1
6,50,cw,344,2
6,50,cw,340,3
6,50,cw,330,2
6,50,cw,333,2
6,50,cw,337,1
6,50,cw,318,3
6,50,cw,346,1
6,50,cw,333,1
6,50,cw,326,1
6,50,cw,327,3
6,50,cw,337,1
6,50,cw,325,1
6,50,cw,341,2
6,50,cw,339,2
6,50,cw,305,2
6,50,cw,340,2
6,50,cw,335,3
6,50,cw,338,2
6,50,cw,331,1
6,50,cw,352,1
6,50,cw,334,2
6,50,cw,331,2
6,50,cw,324,1
6,50,cw,336,4
6,50,cw,337,1
6,50,cw,332,2
6,50,cw,329,1
6,50,cw,315,1
6,50,cw,328,1
6,50,cw,317,1
6,50,cw,325,2
6,50,cw,322,1
6,50,cw,341,1
6,50,cw,325,1
6,50,cw,327,1
6,50,cw,330,1
6,50,cw,343,3
6,50,cw,339,2
6,50,cw,334,2
6,50,cw,336,1
6,50,cw,343,1
6,50,cw,347,2
6,50,cw,340,2
6,50,cw,348,3
6,50,cw,313,2
6,50,cw,336,1
6,50,cw,336,2
6,50,cw,317,2
