n,m,ptype,best_distance,nsolutions
4,50,cr,127,1
4,50,cr,133,1
4,50,cr,136,1
4,50,cr,127,1
4,50,cr,109,1
4,50,cr,117,1
4,50,cr,129,1
4,50,cr,123,1
4,50,cr,137,1
4,50,cr,136,1
4,50,cr,135,1
4,50,cr,135,1
4,50,cr,134,1
4,50,cr,126,1
4,50,cr,135,1
4,50,cr,130,1
4,50,cr,131,1
4,50,cr,125,1
4,50,cr,129,1
4,50,cr,134,1
4,50,cr,130,1
4,50,cr,128,1
4,50,cr,125,1
4,50,cr,132,1
4,50,cr,129,1
4,50,cr,121,1
4,50,cr,136,1
4,50,cr,134,1
4,50,cr,130,1
4,50,cr,139,1
4,50,cr,132,1
4,50,cr,139,1
4,50,cr,124,1
4,50,cr,119,1
4,50,cr,135,1
4,50,cr,138,1
4,50,cr,130,1
4,50,cr,133,1
4,50,cr,124,1
4,50,cr,130,1
4,50,cr,136,1
4,50,cr,115,1
4,50,cr,121,1
4,50,cr,129,1
4,50,cr,126,1
4,50,cr,136,1
4,50,cr,133,1
4,50,cr,117,1
4,50,cr,132,1
4,50,cr,122,1
