n,m,ptype,best_distance,nsolutions
4,99,cw,281,1
4,99,cw,285,3
4,99,cw,283,2
4,99,cw,267,1
4,99,cw,278,1
4,99,cw,274,1
4,99,cw,285,1
4,99,cw,275,1
4,99,cw,284,2
4,99,cw,278,1
4,99,cw,280,1
4,99,cw,278,1
4,99,cw,289,1
4,99,cw,288,1
4,99,cw,267,1
4,99,cw,279,1
4,99,cw,285,1
4,99,cw,286,1
4,99,cw,268,1
4,99,cw,263,1
4,99,cw,283,1
4,99,cw,283,1
4,99,cw,275,1
4,99,cw,287,2
4,99,cw,283,1
4,99,cw,278,1
4,99,cw,275,1
4,99,cw,280,1
4,99,cw,278,1
4,99,cw,285,1
4,99,cw,269,1
4,99,cw,273,2
4,99,cw,285,2
4,99,cw,276,1
4,99,cw,275,1
4,99,cw,283,1
4,99,cw,288,1
4,99,cw,267,1
4,99,cw,278,1
4,99,cw,275,1
4,99,cw,275,1
4,99,cw,276,1
4,99,cw,277,2
4,99,cw,288,3
4,99,cw,288,1
4,99,cw,284,1
4,99,cw,273,1
4,99,cw,286,1
4,99,cw,280,1
4,99,cw,270,1
