n,m,ptype,best_distance,nsolutions
5,99,cw,458,1
5,99,cw,459,1
5,99,cw,459,1
5,99,cw,449,1
5,99,cw,453,1
5,99,cw,473,1
5,99,cw,462,1
5,99,cw,481,3
5,99,cw,467,1
5,99,cw,454,1
5,99,cw,458,1
5,99,cw,458,1
5,99,cw,462,1
5,99,cw,468,1
5,99,cw,449,1
5,99,cw,458,1
5,99,cw,466,1
5,99,cw,470,1
5,99,cw,472,1
5,99,cw,454,1
5,99,cw,475,2
5,99,cw,470,1
5,99,cw,459,1
5,99,cw,470,1
5,99,cw,440,1
5,99,cw,463,1
5,99,cw,453,2
5,99,cw,445,1
5,99,cw,457,1
5,99,cw,464,1
5,99,cw,451,1
5,99,cw,451,1
5,99,cw,471,3
5,99,cw,460,1
5,99,cw,454,1
5,99,cw,463,1
5,99,cw,444,1
5,99,cw,469,1
5,99,cw,450,1
5,99,cw,459,1
5,99,cw,460,2
5,99,cw,462,1
5,99,cw,464,2
5,99,cw,460,1
5,99,cw,440,1
5,99,cw,460,2
5,99,cw,463,1
5,99,cw,454,1
5,99,cw,444,2
5,99,cw,445,2
