n,m,ptype,best_distance,nsolutions
5,100,cw,463,1
5,100,cw,460,1
5,100,cw,467,2
5,100,cw,456,2
5,100,cw,459,1
5,100,cw,467,1
5,100,cw,481,1
5,100,cw,471,1
5,100,cw,457,1
5,100,cw,444,1
5,100,cw,467,2
5,100,cw,461,1
5,100,cw,465,1
5,100,cw,460,1
5,100,cw,449,2
5,100,cw,456,2
5,100,cw,473,1
5,100,cw,469,2
5,100,cw,471,1
5,100,cw,452,1
5,100,cw,463,1
5,100,cw,447,2
5,100,cw,473,3
5,100,cw,451,3
5,100,cw,477,1
5,100,cw,459,1
5,100,cw,475,1
5,100,cw,465,2
5,100,cw,468,2
5,100,cw,475,1
5,100,cw,450,5
5,100,cw,468,1
5,100,cw,456,1
5,100,cw,465,2
5,100,cw,455,2
5,100,cw,447,2
5,100,cw,473,2
5,100,cw,470,1
5,100,cw,463,1
5,100,cw,453,1
5,100,cw,445,1
5,100,cw,453,3
5,100,cw,465,2
5,100,cw,468,2
5,100,cw,466,1
5,100,cw,438,2
5,100,cw,453,1
5,100,cw,417,2
5,100,cw,444,2
5,100,cw,456,2
