n,m,ptype,best_distance,nsolutions
6,50,nc,353,3
6,50,nc,339,2
6,50,nc,360,5
6,50,nc,344,3
6,50,nc,348,2
6,50,nc,349,4
6,50,nc,337,8
6,50,nc,333,4
6,50,nc,338,1
6,50,nc,328,3
6,50,nc,356,3
6,50,nc,347,1
6,50,nc,340,1
6,50,nc,334,2
6,50,nc,328,2
6,50,nc,347,2
6,50,nc,351,2
6,50,nc,357,1
6,50,nc,318,2
6,50,nc,338,8
6,50,nc,341,2
6,50,nc,333,2
6,50,nc,312,1
6,50,nc,340,1
6,50,nc,346,2
6,50,nc,342,2
6,50,nc,357,1
6,50,nc,328,2
6,50,nc,334,1
6,50,nc,323,6
6,50,nc,351,2
6,50,nc,336,2
6,50,nc,325,1
6,50,nc,325,1
6,50,nc,329,2
6,50,nc,349,2
6,50,nc,336,1
6,50,nc,337,2
6,50,nc,342,2
6,50,nc,319,2
6,50,nc,344,2
6,50,nc,342,4
6,50,nc,356,3
6,50,nc,341,4
6,50,nc,348,2
6,50,nc,352,2
6,50,nc,343,4
6,50,nc,353,3
6,50,nc,356,8
6,50,nc,355,2
