n,m,ptype,best_distance,nsolutions
5,10,nc,39,2
5,10,nc,48,30
5,10,nc,37,2
5,10,nc,32,1
5,10,nc,39,4
5,10,nc,41,1
5,10,nc,40,8
5,10,nc,37,2
5,10,nc,31,4
5,10,nc,38,1
5,10,nc,36,4
5,10,nc,40,6
5,10,nc,41,6
5,10,nc,36,4
5,10,nc,35,2
5,10,nc,41,3
5,10,nc,38,6
5,10,nc,36,2
5,10,nc,42,8
5,10,nc,39,2
5,10,nc,35,1
5,10,nc,35,1
5,10,nc,37,1
5,10,nc,38,2
5,10,nc,37,3
5,10,nc,38,8
5,10,nc,40,3
5,10,nc,39,1
5,10,nc,36,1
5,10,nc,42,6
5,10,nc,38,1
5,10,nc,40,2
5,10,nc,37,4
5,10,nc,42,4
5,10,nc,44,9
5,10,nc,38,2
5,10,nc,35,1
5,10,nc,36,12
5,10,nc,38,6
5,10,nc,37,5
5,10,nc,38,1
5,10,nc,44,2
5,10,nc,43,1
5,10,nc,37,2
5,10,nc,42,3
5,10,nc,42,2
5,10,nc,40,5
5,10,nc,39,2
5,10,nc,42,6
5,10,nc,46,6
