n,m,ptype,best_distance,nsolutions
6,99,cw,668,1
6,99,cw,693,1
6,99,cw,686,3
6,99,cw,681,1
6,99,cw,718,1
6,99,cw,666,1
6,99,cw,702,1
6,99,cw,705,1
6,99,cw,689,1
6,99,cw,700,2
6,99,cw,686,1
6,99,cw,693,1
6,99,cw,713,4
6,99,cw,695,1
6,99,cw,693,1
6,99,cw,687,1
6,99,cw,680,1
6,99,cw,696,1
6,99,cw,691,1
6,99,cw,688,1
6,99,cw,697,1
6,99,cw,694,2
6,99,cw,693,1
6,99,cw,689,1
6,99,cw,691,1
6,99,cw,713,2
6,99,cw,677,1
6,99,cw,686,2
6,99,cw,682,1
6,99,cw,657,2
6,99,cw,708,1
6,99,cw,695,1
6,99,cw,680,1
6,99,cw,691,2
6,99,cw,705,1
6,99,cw,661,1
6,99,cw,679,2
6,99,cw,692,1
6,99,cw,687,1
6,99,cw,691,1
6,99,cw,686,2
6,99,cw,703,2
6,99,cw,673,2
6,99,cw,695,3
6,99,cw,680,1
6,99,cw,671,1
6,99,cw,659,1
6,99,cw,713,1
6,99,cw,672,1
6,99,cw,677,1
