n,m,ptype,best_distance,nsolutions
5,100,nc,459,2
5,100,nc,475,2
5,100,nc,475,3
5,100,nc,457,2
5,100,nc,454,2
5,100,nc,480,1
5,100,nc,468,1
5,100,nc,463,2
5,100,nc,451,2
5,100,nc,479,2
5,100,nc,457,1
5,100,nc,481,1
5,100,nc,465,1
5,100,nc,480,1
5,100,nc,484,1
5,100,nc,460,1
5,100,nc,462,2
5,100,nc,455,2
5,100,nc,466,1
5,100,nc,460,1
5,100,nc,458,1
5,100,nc,480,1
5,100,nc,469,2
5,100,nc,464,1
5,100,nc,438,2
5,100,nc,455,2
5,100,nc,478,1
5,100,nc,474,1
5,100,nc,480,6
5,100,nc,472,1
5,100,nc,477,1
5,100,nc,477,2
5,100,nc,463,1
5,100,nc,468,2
5,100,nc,476,4
5,100,nc,465,3
5,100,nc,477,1
5,100,nc,468,2
5,100,nc,476,1
5,100,nc,470,2
5,100,nc,475,3
5,100,nc,462,2
5,100,nc,480,1
5,100,nc,476,1
5,100,nc,466,1
5,100,nc,476,1
5,100,nc,478,3
5,100,nc,480,3
5,100,nc,456,1
5,100,nc,444,2
