n,m,ptype,best_distance,nsolutions
5,49,cr,219,1
5,49,cr,224,1
5,49,cr,215,1
5,49,cr,213,1
5,49,cr,219,1
5,49,cr,226,1
5,49,cr,220,1
5,49,cr,199,1
5,49,cr,226,1
5,49,cr,223,1
5,49,cr,219,1
5,49,cr,191,1
5,49,cr,205,1
5,49,cr,209,1
5,49,cr,220,1
5,49,cr,207,1
5,49,cr,206,1
5,49,cr,219,1
5,49,cr,231,1
5,49,cr,219,1
5,49,cr,218,1
5,49,cr,204,1
5,49,cr,214,1
5,49,cr,219,1
5,49,cr,208,1
5,49,cr,207,1
5,49,cr,209,1
5,49,cr,218,1
5,49,cr,231,1
5,49,cr,218,1
5,49,cr,209,1
5,49,cr,219,1
5,49,cr,212,1
5,49,cr,211,1
5,49,cr,217,1
5,49,cr,225,1
5,49,cr,223,1
5,49,cr,228,1
5,49,cr,221,1
5,49,cr,221,1
5,49,cr,207,1
5,49,cr,220,1
5,49,cr,228,1
5,49,cr,207,1
5,49,cr,215,1
5,49,cr,216,1
5,49,cr,214,1
5,49,cr,211,1
5,49,cr,211,1
5,49,cr,217,1
