n,m,ptype,best_distance,nsolutions
6,10,cw,64,15
6,10,cw,57,1
6,10,cw,49,3
6,10,cw,50,2
6,10,cw,56,1
6,10,cw,49,1
6,10,cw,54,3
6,10,cw,57,10
6,10,cw,49,3
6,10,cw,46,1
6,10,cw,64,8
6,10,cw,48,3
6,10,cw,54,1
6,10,cw,58,2
6,10,cw,55,3
6,10,cw,55,1
6,10,cw,63,4
6,10,cw,61,5
6,10,cw,57,1
6,10,cw,50,6
6,10,cw,60,7
6,10,cw,54,3
6,10,cw,59,2
6,10,cw,56,3
6,10,cw,45,1
6,10,cw,55,12
6,10,cw,59,2
6,10,cw,55,1
6,10,cw,63,1
6,10,cw,57,1
6,10,cw,64,3
6,10,cw,51,8
6,10,cw,63,8
6,10,cw,61,7
6,10,cw,60,4
6,10,cw,58,8
6,10,cw,61,9
6,10,cw,59,3
6,10,cw,53,3
6,10,cw,54,3
6,10,cw,53,3
6,10,cw,55,4
6,10,cw,62,3
6,10,cw,52,3
6,10,cw,55,9
6,10,cw,48,3
6,10,cw,58,8
6,10,cw,60,3
6,10,cw,53,3
6,10,cw,47,2
