n,m,ptype,best_distance,nsolutions
6,99,cr,638,1
6,99,cr,663,1
6,99,cr,687,1
6,99,cr,672,1
6,99,cr,693,1
6,99,cr,706,1
6,99,cr,695,1
6,99,cr,665,1
6,99,cr,672,1
6,99,cr,692,1
6,99,cr,699,1
6,99,cr,684,1
6,99,cr,655,1
6,99,cr,646,1
6,99,cr,665,1
6,99,cr,672,1
6,99,cr,679,1
6,99,cr,691,1
6,99,cr,643,1
6,99,cr,665,1
6,99,cr,673,1
6,99,cr,669,1
6,99,cr,702,1
6,99,cr,640,1
6,99,cr,675,1
6,99,cr,652,1
6,99,cr,665,1
6,99,cr,653,1
6,99,cr,710,1
6,99,cr,672,1
6,99,cr,675,1
6,99,cr,664,1
6,99,cr,697,1
6,99,cr,685,1
6,99,cr,675,1
6,99,cr,670,1
6,99,cr,671,1
6,99,cr,679,1
6,99,cr,707,1
6,99,cr,687,1
6,99,cr,681,1
6,99,cr,670,1
6,99,cr,696,1
6,99,cr,687,1
6,99,cr,676,1
6,99,cr,684,1
6,99,cr,681,1
6,99,cr,671,1
6,99,cr,663,1
6,99,cr,689,1
