n,m,ptype,best_distance,nsolutions
5,10,cr,38,1
5,10,cr,30,1
5,10,cr,33,1
5,10,cr,35,1
5,10,cr,35,1
5,10,cr,34,1
5,10,cr,34,1
5,10,cr,26,1
5,10,cr,27,1
5,10,cr,34,1
5,10,cr,35,1
5,10,cr,33,1
5,10,cr,35,1
5,10,cr,33,1
5,10,cr,34,1
5,10,cr,24,1
5,10,cr,33,1
5,10,cr,23,1
5,10,cr,30,1
5,10,cr,28,1
5,10,cr,33,1
5,10,cr,36,1
5,10,cr,30,1
5,10,cr,36,1
5,10,cr,31,1
5,10,cr,32,1
5,10,cr,32,1
5,10,cr,38,1
5,10,cr,30,1
5,10,cr,36,1
5,10,cr,34,1
5,10,cr,34,1
5,10,cr,29,1
5,10,cr,34,1
5,10,cr,35,1
5,10,cr,36,1
5,10,cr,34,1
5,10,cr,34,1
5,10,cr,29,1
5,10,cr,31,1
5,10,cr,32,1
5,10,cr,30,1
5,10,cr,31,1
5,10,cr,40,1
5,10,cr,28,1
5,10,cr,33,1
5,10,cr,35,1
5,10,cr,33,1
5,10,cr,32,1
5,10,cr,36,1
