n,m,ptype,best_distance,nsolutions
6,49,cw,332,1
6,49,cw,349,2
6,49,cw,337,1
6,49,cw,337,1
6,49,cw,325,1
6,49,cw,335,1
6,49,cw,344,1
6,49,cw,324,2
6,49,cw,318,1
6,49,cw,319,1
6,49,cw,330,1
6,49,cw,336,1
6,49,cw,336,1
6,49,cw,327,1
6,49,cw,332,1
6,49,cw,332,1
6,49,cw,322,2
6,49,cw,311,1
6,49,cw,327,2
6,49,cw,333,1
6,49,cw,330,2
6,49,cw,324,1
6,49,cw,321,1
6,49,cw,307,2
6,49,cw,336,2
6,49,cw,311,1
6,49,cw,319,1
6,49,cw,321,3
6,49,cw,331,1
6,49,cw,320,1
6,49,cw,318,1
6,49,cw,335,3
6,49,cw,336,1
6,49,cw,331,1
6,49,cw,328,1
6,49,cw,338,1
6,49,cw,340,1
6,49,cw,329,2
6,49,cw,333,1
6,49,cw,342,1
6,49,cw,308,1
6,49,cw,337,2
6,49,cw,313,1
6,49,cw,347,1
6,49,cw,317,2
6,49,cw,329,1
6,49,cw,319,1
6,49,cw,339,1
6,49,cw,331,1
6,49,cw,344,1
