n,m,ptype,best_distance,nsolutions
6,50,cr,297,1
6,50,cr,320,1
6,50,cr,320,1
6,50,cr,324,1
6,50,cr,327,1
6,50,cr,335,1
6,50,cr,322,1
6,50,cr,323,1
6,50,cr,336,1
6,50,cr,297,1
6,50,cr,300,1
6,50,cr,307,1
6,50,cr,337,1
6,50,cr,336,1
6,50,cr,327,1
6,50,cr,301,1
6,50,cr,310,1
6,50,cr,327,1
6,50,cr,322,1
6,50,cr,330,1
6,50,cr,334,1
6,50,cr,333,1
6,50,cr,335,1
6,50,cr,325,1
6,50,cr,330,1
6,50,cr,321,1
6,50,cr,336,1
6,50,cr,319,1
6,50,cr,339,1
6,50,cr,336,1
6,50,cr,317,1
6,50,cr,326,1
6,50,cr,321,1
6,50,cr,326,1
6,50,cr,332,1
6,50,cr,329,1
6,50,cr,334,1
6,50,cr,330,1
6,50,cr,314,1
6,50,cr,327,1
6,50,cr,316,1
6,50,cr,327,1
6,50,cr,316,1
6,50,cr,297,1
6,50,cr,302,1
6,50,cr,315,1
6,50,cr,311,1
6,50,cr,340,1
6,50,cr,326,1
6,50,cr,313,1
