n,m,ptype,best_distance,nsolutions
6,49,nc,341,1
6,49,nc,344,2
6,49,nc,346,1
6,49,nc,323,1
6,49,nc,331,1
6,49,nc,324,1
6,49,nc,351,1
6,49,nc,341,1
6,49,nc,341,1
6,49,nc,355,3
6,49,nc,336,2
6,49,nc,337,1
6,49,nc,346,1
6,49,nc,329,1
6,49,nc,346,2
6,49,nc,316,2
6,49,nc,327,2
6,49,nc,340,2
6,49,nc,328,1
6,49,nc,339,1
6,49,nc,339,1
6,49,nc,347,1
6,49,nc,338,2
6,49,nc,347,1
6,49,nc,349,2
6,49,nc,350,2
6,49,nc,317,1
6,49,nc,319,1
6,49,nc,313,1
6,49,nc,347,2
6,49,nc,322,1
6,49,nc,320,1
6,49,nc,322,1
6,49,nc,335,1
6,49,nc,341,4
6,49,nc,328,1
6,49,nc,344,2
6,49,nc,342,2
6,49,nc,336,1
6,49,nc,335,1
6,49,nc,327,1
6,49,nc,328,1
6,49,nc,323,1
6,49,nc,337,1
6,49,nc,332,1
6,49,nc,329,1
6,49,nc,329,1
6,49,nc,322,1
6,49,nc,337,1
6,49,nc,346,2
