n,m,ptype,best_distance,nsolutions
4,50,cw,137,1
4,50,cw,128,2
4,50,cw,138,1
4,50,cw,138,2
4,50,cw,139,1
4,50,cw,125,2
4,50,cw,136,2
4,50,cw,134,2
4,50,cw,137,2
4,50,cw,139,2
4,50,cw,137,2
4,50,cw,136,1
4,50,cw,144,2
4,50,cw,142,3
4,50,cw,121,1
4,50,cw,129,2
4,50,cw,128,2
4,50,cw,129,2
4,50,cw,132,1
4,50,cw,130,3
4,50,cw,129,2
4,50,cw,140,3
4,50,cw,132,3
4,50,cw,134,3
4,50,cw,140,2
4,50,cw,130,2
4,50,cw,122,2
4,50,cw,139,1
4,50,cw,132,2
4,50,cw,136,2
4,50,cw,144,3
4,50,cw,136,3
4,50,cw,128,2
4,50,cw,126,2
4,50,cw,132,2
4,50,cw,134,1
4,50,cw,136,1
4,50,cw,119,1
4,50,cw,134,2
4,50,cw,139,3
4,50,cw,136,1
4,50,cw,140,3
4,50,cw,137,1
4,50,cw,135,2
4,50,cw,129,1
4,50,cw,134,1
4,50,cw,138,2
4,50,cw,134,1
4,50,cw,125,2
4,50,cw,135,2
