n,m,ptype,best_distance,nsolutions
4,100,nc,288,3
4,100,nc,285,2
4,100,nc,290,1
4,100,nc,280,1
4,100,nc,286,1
4,100,nc,278,2
4,100,nc,292,4
4,100,nc,296,5
4,100,nc,282,2
4,100,nc,289,2
4,100,nc,285,1
4,100,nc,286,1
4,100,nc,284,1
4,100,nc,292,3
4,100,nc,289,2
4,100,nc,281,1
4,100,nc,278,1
4,100,nc,286,1
4,100,nc,272,1
4,100,nc,258,2
4,100,nc,278,1
4,100,nc,287,1
4,100,nc,296,2
4,100,nc,286,2
4,100,nc,278,2
4,100,nc,291,3
4,100,nc,288,2
4,100,nc,269,2
4,100,nc,275,1
4,100,nc,286,1
4,100,nc,271,2
4,100,nc,281,2
4,100,nc,292,3
4,100,nc,288,1
4,100,nc,284,1
4,100,nc,290,1
4,100,nc,295,2
4,100,nc,283,3
4,100,nc,286,1
4,100,nc,290,3
4,100,nc,280,2
4,100,nc,275,1
4,100,nc,293,1
4,100,nc,290,1
4,100,nc,291,1
4,100,nc,297,3
4,100,nc,293,2
4,100,nc,282,3
4,100,nc,287,2
4,100,nc,289,2
