n,m,ptype,best_distance,nsolutions
5,49,nc,212,1
5,49,nc,226,1
5,49,nc,229,1
5,49,nc,216,2
5,49,nc,210,1
5,49,nc,233,1
5,49,nc,215,1
5,49,nc,233,3
5,49,nc,231,2
5,49,nc,217,1
5,49,nc,237,1
5,49,nc,232,1
5,49,nc,227,1
5,49,nc,231,1
5,49,nc,217,1
5,49,nc,228,1
5,49,nc,218,2
5,49,nc,221,1
5,49,nc,230,1
5,49,nc,223,1
5,49,nc,212,1
5,49,nc,230,1
5,49,nc,203,1
5,49,nc,220,2
5,49,nc,229,4
5,49,nc,236,1
5,49,nc,229,1
5,49,nc,230,1
5,49,nc,214,1
5,49,nc,230,1
5,49,nc,221,1
5,49,nc,212,1
5,49,nc,227,1
5,49,nc,219,2
5,49,nc,231,1
5,49,nc,225,1
5,49,nc,226,1
5,49,nc,227,1
5,49,nc,228,1
5,49,nc,222,1
5,49,nc,200,1
5,49,nc,223,1
5,49,nc,224,1
5,49,nc,233,1
5,49,nc,232,2
5,49,nc,235,2
5,49,nc,218,1
5,49,nc,218,1
5,49,nc,227,1
5,49,nc,221,1
