n,m,ptype,best_distance,nsolutions
5,99,cr,459,1
5,99,cr,469,1
5,99,cr,443,1
5,99,cr,453,1
5,99,cr,447,1
5,99,cr,459,1
5,99,cr,444,1
5,99,cr,436,1
5,99,cr,456,1
5,99,cr,444,1
5,99,cr,444,1
5,99,cr,455,1
5,99,cr,438,1
5,99,cr,446,1
5,99,cr,439,1
5,99,cr,430,1
5,99,cr,427,1
5,99,cr,455,1
5,99,cr,462,1
5,99,cr,456,1
5,99,cr,440,1
5,99,cr,474,1
5,99,cr,478,1
5,99,cr,458,1
5,99,cr,453,1
5,99,cr,449,1
5,99,cr,442,1
5,99,cr,454,1
5,99,cr,466,1
5,99,cr,456,1
5,99,cr,462,1
5,99,cr,430,1
5,99,cr,442,1
5,99,cr,447,1
5,99,cr,453,1
5,99,cr,471,1
5,99,cr,452,1
5,99,cr,461,1
5,99,cr,411,1
5,99,cr,452,1
5,99,cr,440,1
5,99,cr,460,1
5,99,cr,436,1
5,99,cr,464,1
5,99,cr,472,1
5,99,cr,461,1
5,99,cr,451,1
5,99,cr,458,1
5,99,cr,450,1
5,99,cr,450,1
