n,m,ptype,best_distance,nsolutions
5,50,cr,230,1
5,50,cr,204,1
5,50,cr,227,1
5,50,cr,200,1
5,50,cr,210,1
5,50,cr,214,1
5,50,cr,213,1
5,50,cr,222,1
5,50,cr,209,1
5,50,cr,226,1
5,50,cr,211,1
5,50,cr,212,1
5,50,cr,223,1
5,50,cr,222,1
5,50,cr,223,1
5,50,cr,216,1
5,50,cr,219,1
5,50,cr,219,1
5,50,cr,227,1
5,50,cr,203,1
5,50,cr,226,1
5,50,cr,214,1
5,50,cr,203,1
5,50,cr,206,1
5,50,cr,226,1
5,50,cr,207,1
5,50,cr,204,1
5,50,cr,210,1
5,50,cr,222,1
5,50,cr,218,1
5,50,cr,224,1
5,50,cr,223,1
5,50,cr,215,1
5,50,cr,218,1
5,50,cr,215,1
5,50,cr,212,1
5,50,cr,220,1
5,50,cr,224,1
5,50,cr,221,1
5,50,cr,211,1
5,50,cr,220,1
5,50,cr,218,1
5,50,cr,223,1
5,50,cr,224,1
5,50,cr,222,1
5,50,cr,203,1
5,50,cr,221,1
5,50,cr,201,1
5,50,cr,206,1
5,50,cr,217,1
