n,m,ptype,best_distance,nsolutions
4,99,nc,285,1
4,99,nc,277,1
4,99,nc,281,1
4,99,nc,291,1
4,99,nc,280,1
4,99,nc,281,1
4,99,nc,282,1
4,99,nc,278,1
4,99,nc,288,1
4,99,nc,277,1
4,99,nc,284,1
4,99,nc,272,1
4,99,nc,276,1
4,99,nc,283,1
4,99,nc,292,1
4,99,nc,288,1
4,99,nc,285,2
4,99,nc,282,1
4,99,nc,287,1
4,99,nc,288,1
4,99,nc,283,2
4,99,nc,286,1
4,99,nc,292,1
4,99,nc,281,2
4,99,nc,286,1
4,99,nc,274,2
4,99,nc,290,2
4,99,nc,287,1
4,99,nc,293,1
4,99,nc,279,1
4,99,nc,280,2
4,99,nc,281,1
4,99,nc,274,1
4,99,nc,280,1
4,99,nc,280,3
4,99,nc,285,1
4,99,nc,283,1
4,99,nc,284,1
4,99,nc,279,2
4,99,nc,279,2
4,99,nc,289,1
4,99,nc,281,1
4,99,nc,274,1
4,99,nc,282,1
4,99,nc,277,1
4,99,nc,278,1
4,99,nc,286,1
4,99,nc,278,1
4,99,nc,262,1
4,99,nc,291,1
