n,m,ptype,best_distance,nsolutions
5,100,cr,460,1
5,100,cr,447,1
5,100,cr,455,1
5,100,cr,452,1
5,100,cr,463,1
5,100,cr,451,1
5,100,cr,444,1
5,100,cr,448,1
5,100,cr,450,1
5,100,cr,441,1
5,100,cr,435,1
5,100,cr,430,1
5,100,cr,457,1
5,100,cr,458,1
5,100,cr,442,1
5,100,cr,459,1
5,100,cr,452,1
5,100,cr,460,1
5,100,cr,458,1
5,100,cr,463,1
5,100,cr,418,1
5,100,cr,453,1
5,100,cr,444,1
5,100,cr,438,1
5,100,cr,461,1
5,100,cr,455,1
5,100,cr,452,1
5,100,cr,453,1
5,100,cr,452,1
5,100,cr,469,1
5,100,cr,433,1
5,100,cr,469,1
5,100,cr,448,1
5,100,cr,452,1
5,100,cr,447,1
5,100,cr,463,1
5,100,cr,459,1
5,100,cr,474,1
5,100,cr,457,1
5,100,cr,465,1
5,100,cr,462,1
5,100,cr,461,1
5,100,cr,443,1
5,100,cr,452,1
5,100,cr,468,1
5,100,cr,456,1
5,100,cr,450,1
5,100,cr,463,1
5,100,cr,460,1
5,100,cr,468,1
