n,m,ptype,best_distance,nsolutions
4,50,nc,141,3
4,50,nc,142,3
4,50,nc,139,1
4,50,nc,141,1
4,50,nc,130,3
4,50,nc,139,1
4,50,nc,137,1
4,50,nc,137,1
4,50,nc,145,2
4,50,nc,134,2
4,50,nc,136,1
4,50,nc,141,2
4,50,nc,137,1
4,50,nc,128,3
4,50,nc,141,3
4,50,nc,133,2
4,50,nc,142,1
4,50,nc,131,1
4,50,nc,138,1
4,50,nc,136,2
4,50,nc,142,3
4,50,nc,142,3
4,50,nc,137,2
4,50,nc,145,4
4,50,nc,146,2
4,50,nc,134,1
4,50,nc,141,6
4,50,nc,136,1
4,50,nc,137,1
4,50,nc,144,1
4,50,nc,144,2
4,50,nc,148,6
4,50,nc,138,2
4,50,nc,144,2
4,50,nc,144,4
4,50,nc,141,3
4,50,nc,131,2
4,50,nc,141,1
4,50,nc,139,1
4,50,nc,137,2
4,50,nc,141,1
4,50,nc,132,2
4,50,nc,131,1
4,50,nc,135,1
4,50,nc,139,2
4,50,nc,133,1
4,50,nc,127,1
4,50,nc,134,2
4,50,nc,142,3
4,50,nc,135,2
