n,m,ptype,best_distance,nsolutions
4,10,nc,19,1
4,10,nc,21,2
4,10,nc,27,1
4,10,nc,23,1
4,10,nc,27,2
4,10,nc,26,1
4,10,nc,26,8
4,10,nc,24,1
4,10,nc,24,1
4,10,nc,22,2
4,10,nc,22,2
4,10,nc,25,6
4,10,nc,26,2
4,10,nc,23,1
4,10,nc,26,3
4,10,nc,20,3
4,10,nc,25,5
4,10,nc,22,2
4,10,nc,23,1
4,10,nc,27,5
4,10,nc,23,1
4,10,nc,25,1
4,10,nc,21,2
4,10,nc,26,3
4,10,nc,25,3
4,10,nc,20,1
4,10,nc,26,4
4,10,nc,19,2
4,10,nc,23,2
4,10,nc,25,2
4,10,nc,25,2
4,10,nc,23,2
4,10,nc,24,4
4,10,nc,21,2
4,10,nc,25,1
4,10,nc,22,2
4,10,nc,18,2
4,10,nc,17,2
4,10,nc,28,6
4,10,nc,22,1
4,10,nc,12,2
4,10,nc,24,3
4,10,nc,24,1
4,10,nc,23,4
4,10,nc,21,3
4,10,nc,26,2
4,10,nc,25,3
4,10,nc,27,3
4,10,nc,29,12
4,10,nc,25,2
